"rawTimeSeries","datesVector"
NA,1997-09-10
424.615997314453,1997-09-18
459.332000732422,1997-09-26
391.862014770508,1997-10-04
425.37548828125,1997-10-12
NA,1997-10-20
387.765502929688,1997-10-28
630.611999511719,1997-11-05
413.860992431641,1997-11-13
493.088989257812,1997-11-21
538.153503417969,1997-11-29
653.558013916016,1997-12-07
NA,1997-12-15
478.59700012207,1997-12-23
490.824005126953,1998-01-05
445.2080078125,1998-01-13
394.262496948242,1998-01-21
351.169509887695,1998-01-29
392.009002685547,1998-02-06
231.119003295898,1998-02-14
374.421997070312,1998-02-22
413.128997802734,1998-03-02
478.402008056641,1998-03-10
684.893981933594,1998-03-18
418.126998901367,1998-03-26
454.27099609375,1998-04-03
389.201995849609,1998-04-11
358.134506225586,1998-04-19
NA,1998-04-27
420.334991455078,1998-05-05
485.553985595703,1998-05-13
439.591491699219,1998-05-21
576.966979980469,1998-05-29
644.012023925781,1998-06-06
606.143981933594,1998-06-14
444.338500976562,1998-06-22
522.970001220703,1998-06-30
558.266998291016,1998-07-08
409.873001098633,1998-07-16
477.274505615234,1998-07-24
546.377990722656,1998-08-01
697.2705078125,1998-08-09
599.189514160156,1998-08-17
1035.59448242188,1998-08-25
NA,1998-09-02
606.033996582031,1998-09-10
610.967498779297,1998-09-18
684.877014160156,1998-09-26
500.31201171875,1998-10-04
538.966979980469,1998-10-12
648.723999023438,1998-10-20
578.807495117188,1998-10-28
455.186492919922,1998-11-05
NA,1998-11-13
NA,1998-11-21
427.219497680664,1998-11-29
474.571502685547,1998-12-07
434.912002563477,1998-12-15
NA,1998-12-23
340.009490966797,1999-01-05
324.106506347656,1999-01-13
375.404510498047,1999-01-21
362.64599609375,1999-01-29
273.415496826172,1999-02-06
341.464004516602,1999-02-14
357.884490966797,1999-02-22
414.404998779297,1999-03-02
402.476989746094,1999-03-10
459.880996704102,1999-03-18
355.349502563477,1999-03-26
431.925994873047,1999-04-03
363.947494506836,1999-04-11
NA,1999-04-19
438.477005004883,1999-04-27
438.443496704102,1999-05-05
495.158508300781,1999-05-13
540.561981201172,1999-05-21
440.43798828125,1999-05-29
562.4169921875,1999-06-06
615.8740234375,1999-06-14
480.045013427734,1999-06-22
629.4365234375,1999-06-30
679.228485107422,1999-07-08
NA,1999-07-16
571.683990478516,1999-07-24
607.399505615234,1999-08-01
655.718994140625,1999-08-09
568.381500244141,1999-08-17
690.31201171875,1999-08-25
617.885009765625,1999-09-02
548.073974609375,1999-09-10
446.132995605469,1999-09-18
482.342987060547,1999-09-26
448.894989013672,1999-10-04
572.809997558594,1999-10-12
NA,1999-10-20
624.726989746094,1999-10-28
423.177490234375,1999-11-05
NA,1999-11-13
445.951507568359,1999-11-21
440.604995727539,1999-11-29
466.567993164062,1999-12-07
486.940505981445,1999-12-15
467.651000976562,1999-12-23
427.190490722656,2000-01-05
476.701019287109,2000-01-13
NA,2000-01-21
311.105499267578,2000-01-29
NA,2000-02-06
452.213989257812,2000-02-14
430.976501464844,2000-02-22
369.06201171875,2000-03-01
334.438995361328,2000-03-09
489.269989013672,2000-03-17
414.996490478516,2000-03-25
411.990493774414,2000-04-02
424.276992797852,2000-04-10
NA,2000-04-18
541.904998779297,2000-04-26
547.106018066406,2000-05-04
520.3115234375,2000-05-12
621.568969726562,2000-05-20
726.968017578125,2000-05-28
577.470001220703,2000-06-05
531.252471923828,2000-06-13
607.023498535156,2000-06-21
711.790985107422,2000-06-29
540.125,2000-07-07
384.993988037109,2000-07-15
451.671997070312,2000-07-23
461.989013671875,2000-07-31
510.804992675781,2000-08-08
477.785003662109,2000-08-16
385.241500854492,2000-08-24
517.856994628906,2000-09-01
552.630004882812,2000-09-09
537.018981933594,2000-09-17
549.10302734375,2000-09-25
601.730499267578,2000-10-03
531.947998046875,2000-10-11
581.545989990234,2000-10-19
465.651000976562,2000-10-27
NA,2000-11-04
NA,2000-11-12
NA,2000-11-20
482.993499755859,2000-11-28
NA,2000-12-06
504.026000976562,2000-12-14
441.447006225586,2000-12-22
356.904998779297,2001-01-05
316.52099609375,2001-01-13
357.702499389648,2001-01-21
346.287994384766,2001-01-29
NA,2001-02-06
366.986511230469,2001-02-14
361.851501464844,2001-02-22
NA,2001-03-02
383.690002441406,2001-03-10
377.164001464844,2001-03-18
354.297988891602,2001-03-26
417.042510986328,2001-04-03
410.139007568359,2001-04-11
354.153015136719,2001-04-19
394.444000244141,2001-04-27
654.783020019531,2001-05-05
643.568511962891,2001-05-13
624.399505615234,2001-05-21
635.68798828125,2001-05-29
